business_name,building_name,address,phone,email,restaurant description,open time,close time
Monogram Coffee,Fifth Avenue Place,"420 2 St. S.W., Calgary, AB T2P 3K4",(403) 975-2203,info@monogramcoffee.com,"Bright cafe serving exceptionally sweet, clean, and balanced custom roasted coffee on tap alongside an Honour Bar.",06:00,16:00
Second Cup,Fifth Avenue Place,"425 - 1st Street SW, Unit 213, Calgary, AB T2P 3L8",(403) 262-5322,Not Provided,Canadian coffee retailer serving specialty beverages and baked goods.,Not Provided,Not Provided
Owens Landing,Jamieson Place,"308 4th Ave. SW, Calgary, AB T2P 0H7",(587) 747-7772,Not Provided,"Contemporary eatery and bar with a diverse menu including share plates, pizzas, and handhelds, ideal for post-work gatherings.",11:00,20:00
Analog Coffee,Jamieson Place,"308 4th Ave. SW, Calgary, AB T2P 0H7",Not Provided,Not Provided,Premium coffee kiosk located within the winter garden.,Not Provided,Not Provided
Phil & Sebastian Coffee Roasters,Calgary Place,"#248, 414 3rd St SW, Calgary, AB T2P 1R2",(403) 261-1885,info@philsebastian.com,"Handcrafted espresso and coffee hub sharing space with Hoopla Donuts, offering all-day breakfast sandwiches.",07:30,15:00
Marcello's Market & Deli,Calgary Place,"414 3 St SW, Calgary, AB T2P 1R2",(403) 232-6233,calgaryplace@marcellos.ca,"Affordable gourmet marketplace offering fresh produce, deli items, hot buffet selections, and made-to-order pizzas.",Not Provided,Not Provided
Marcello's Market & Deli,Devon Tower,"400 3 Ave SW, Calgary, AB T2P 4H2",(587) 955-9926,400third@marcellos.ca,"Gourmet marketplace providing busy professionals with affordable, accessible fresh food and hot counter selections.",Not Provided,Not Provided
Marcello's Market & Deli,Watermark Tower,"Downtown Calgary, AB",Not Provided,Not Provided,"Marketplace providing hot buffet selections, sandwiches, and fast checkout for corporate workers.",Not Provided,Not Provided
Marcello's Market & Deli,Suncor Energy Centre,"150 6th Avenue SW, Calgary, AB",Not Provided,Not Provided,"Gourmet marketplace providing busy professionals with affordable, accessible fresh food and hot counter selections.",Not Provided,Not Provided
ItalianoPlease!,The Ampersand,"112 4th Avenue SW, Calgary, AB",(403) 702-2542,Not Provided,"Authentic family-owned Italian food concept serving classic Roman dishes, handmade pasta, and traditional tiramisu.",07:30,15:00
Gogi,The Ampersand,"112 4th Avenue SW, Calgary, AB",Not Provided,Not Provided,Korean eatery known for excellent bi bim bap and quick service options.,Not Provided,Not Provided
Olly Fresco's,Watermark Tower,"530 8 Ave SW, Calgary, AB",Not Provided,Not Provided,"Buffet-style eatery offering diverse hot lunch options, salads, and prepared foods paid by weight.",Not Provided,Not Provided
Olly Fresco's,Eighth Avenue Place,"525 8 Ave SW, Calgary, AB",Not Provided,Not Provided,"Prepared food market offering made-to-order pasta, sandwiches, and hot buffet options.",Not Provided,Not Provided
Barbarella Bar,Stephen Avenue Place,"Bottom of Stephen Avenue Place, Calgary, AB",Not Provided,Not Provided,Restaurant and bar featuring daily happy hour specials from 2-5 PM.,Not Provided,Not Provided
Peppinos,Nexen Building,"801 7th Ave SW, Calgary, AB",Not Provided,Not Provided,Italian deli and sandwich shop famous for its pizza sub and freshly prepared ingredients.,Not Provided,Not Provided
Starbucks,Eighth Avenue Place,"East Tower, +15 Level, Calgary, AB",(587) 955-9805,Not Provided,Global coffeehouse chain serving hot and cold espresso beverages.,05:30,17:30
